#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
10000     ,   [2],   XXX
20000     ,   [3],   XXX
30000     ,   [4],   XXX
40000     ,   [5],   XXX
50000     ,   [6],   XXX
60000     ,   [7],   XXX
70000     ,   [7],   XXX
80000     ,   [8],   XXX
90000     ,   [8],   XXX
100000    ,   [9],   XXX
110000    ,   [9],   XXX
120000    ,  [10],   XXX
130000    ,  [10],   XXX
140000    ,  [11],   XXX
150000    ,  [11],   XXX
160000    ,  [12],   XXX
170000    ,  [12],   XXX
180000    ,  [12],   XXX
190000    ,  [13],   XXX
200000    ,  [13],   XXX
210000    ,  [13],   XXX
220000    ,  [14],   XXX
230000    ,  [14],   XXX
240000    ,  [14],   XXX
250000    ,  [15],   XXX
260000    ,  [15],   XXX
270000    ,  [15],   XXX
280000    ,  [16],   XXX
290000    ,  [16],   XXX
300000    ,  [16],   XXX
310000    ,  [17],   XXX
320000    ,  [17],   XXX
330000    ,  [17],   XXX
340000    ,  [17],   XXX
350000    ,  [18],   XXX
360000    ,  [18],   XXX
370000    ,  [18],   XXX
380000    ,  [18],   XXX
390000    ,  [19],   XXX
400000    ,  [19],   XXX
410000    ,  [19],   XXX
420000    ,  [19],   XXX
430000    ,  [20],   XXX
440000    ,  [20],   XXX
450000    ,  [20],   XXX
460000    ,  [20],   XXX
470000    ,  [21],   XXX
480000    ,  [21],   XXX
490000    ,  [21],   XXX
500000    ,  [21],   XXX
510000    ,  [22],   XXX
520000    ,  [22],   XXX
530000    ,  [22],   XXX
540000    ,  [22],   XXX
550000    ,  [22],   XXX
560000    ,  [23],   XXX
570000    ,  [23],   XXX
580000    ,  [23],   XXX
590000    ,  [23],   XXX
600000    ,  [23],   XXX
610000    ,  [24],   XXX
620000    ,  [24],   XXX
630000    ,  [24],   XXX
640000    ,  [24],   XXX
650000    ,  [24],   XXX
660000    ,  [25],   XXX
670000    ,  [25],   XXX
680000    ,  [25],   XXX
690000    ,  [25],   XXX
700000    ,  [25],   XXX
710000    ,  [26],   XXX
720000    ,  [26],   XXX
730000    ,  [26],   XXX
740000    ,  [26],   XXX
750000    ,  [26],   XXX
760000    ,  [27],   XXX
770000    ,  [27],   XXX
780000    ,  [27],   XXX
790000    ,  [27],   XXX
800000    ,  [27],   XXX
810000    ,  [27],   XXX
820000    ,  [28],   XXX
830000    ,  [28],   XXX
840000    ,  [28],   XXX
850000    ,  [28],   XXX
860000    ,  [28],   XXX
870000    ,  [28],   XXX
880000    ,  [29],   XXX
890000    ,  [29],   XXX
900000    ,  [29],   XXX
910000    ,  [29],   XXX
920000    ,  [29],   XXX
930000    ,  [29],   XXX
940000    ,  [30],   XXX
950000    ,  [30],   XXX
960000    ,  [30],   XXX
970000    ,  [30],   XXX
980000    ,  [30],   XXX
990000    ,  [30],   XXX
1000000   ,  [31],   XXX
1010000   ,  [31],   XXX
1020000   ,  [31],   XXX
1030000   ,  [31],   XXX
1040000   ,  [31],   XXX
1050000   ,  [31],   XXX
1060000   ,  [32],   XXX
1070000   ,  [32],   XXX
1080000   ,  [32],   XXX
1090000   ,  [32],   XXX
1100000   ,  [32],   XXX
1110000   ,  [32],   XXX
1120000   ,  [32],   XXX
1130000   ,  [33],   XXX
1140000   ,  [33],   XXX
1150000   ,  [33],   XXX
1160000   ,  [33],   XXX
1170000   ,  [33],   XXX
1180000   ,  [33],   XXX
1190000   ,  [33],   XXX
1200000   ,  [34],   XXX
1210000   ,  [34],   XXX
1220000   ,  [34],   XXX
1230000   ,  [34],   XXX
1240000   ,  [34],   XXX
1250000   ,  [34],   XXX
1260000   ,  [34],   XXX
1270000   ,  [35],   XXX
1280000   ,  [35],   XXX
1290000   ,  [35],   XXX
1300000   ,  [35],   XXX
1310000   ,  [35],   XXX
1320000   ,  [35],   XXX
1330000   ,  [35],   XXX
1340000   ,  [36],   XXX
1350000   ,  [36],   XXX
1360000   ,  [36],   XXX
1370000   ,  [36],   XXX
1380000   ,  [36],   XXX
1390000   ,  [36],   XXX
1400000   ,  [36],   XXX
1410000   ,  [37],   XXX
1420000   ,  [37],   XXX
1430000   ,  [37],   XXX
1440000   ,  [37],   XXX
1450000   ,  [37],   XXX
1460000   ,  [37],   XXX
1470000   ,  [37],   XXX
1480000   ,  [37],   XXX
1490000   ,  [38],   XXX
1500000   ,  [38],   XXX
1510000   ,  [38],   XXX
1520000   ,  [38],   XXX
1530000   ,  [38],   XXX
1540000   ,  [38],   XXX
1550000   ,  [38],   XXX
1560000   ,  [38],   XXX
1570000   ,  [39],   XXX
1580000   ,  [39],   XXX
1590000   ,  [39],   XXX
1600000   ,  [39],   XXX
1610000   ,  [39],   XXX
1620000   ,  [39],   XXX
1630000   ,  [39],   XXX
1640000   ,  [39],   XXX
1650000   ,  [40],   XXX
1660000   ,  [40],   XXX
1670000   ,  [40],   XXX
1680000   ,  [40],   XXX
1690000   ,  [40],   XXX
1700000   ,  [40],   XXX
1710000   ,  [40],   XXX
1720000   ,  [40],   XXX
1730000   ,  [41],   XXX
1740000   ,  [41],   XXX
1750000   ,  [41],   XXX
1760000   ,  [41],   XXX
