#header line: GPU processors avg,error_bar,run1,run2,run3,
 1, 26.394518, 0.046157, 26.362151, 26.366938, 26.454465
 4, 6.605155, 0.015946, 6.584336, 6.616228, 6.614901
 8, 3.352514, 0.070619, 3.303784, 3.308738, 3.445021
12, 2.241292, 0.041238, 2.213472, 2.295949, 2.214454
16, 1.676318, 0.004857, 1.680463, 1.677742, 1.670748
20, 1.392375, 0.053964, 1.355526, 1.463455, 1.358144
24, 1.144757, 0.006969, 1.138401, 1.152338, 1.143532
28, 1.081784, 0.010486, 1.089056, 1.088212, 1.068083
32, 0.983555, 0.023156, 1.003295, 0.956983, 0.990388
36, 0.887817, 0.017449, 0.872177, 0.884199, 0.907075
40, 0.824804, 0.009541, 0.823967, 0.815682, 0.834764
44, 0.774057, 0.019949, 0.769212, 0.796428, 0.756530
48, 0.743687, 0.018860, 0.762053, 0.724332, 0.744675
