#header line: GPU processors avg,error_bar,run1,run2,run3,
 1, 2.634291, 0.003654, 2.636578, 2.636801, 2.629493
 4, 2.637857, 0.001879, 2.639168, 2.635410, 2.638993
 8, 2.674369, 0.054566, 2.747071, 2.637939, 2.638097
12, 2.660827, 0.006266, 2.661657, 2.654146, 2.666678
16, 2.681478, 0.003153, 2.677607, 2.683913, 2.682914
20, 2.805550, 0.080478, 2.813816, 2.720940, 2.881895
24, 2.740170, 0.015216, 2.733488, 2.728294, 2.758726
28, 3.029997, 0.071056, 3.120606, 2.990890, 2.978495
32, 3.054068, 0.024304, 3.083614, 3.035007, 3.043584
36, 3.134581, 0.026273, 3.168117, 3.120056, 3.115571
40, 3.164017, 0.040281, 3.154294, 3.209160, 3.128598
44, 3.283888, 0.078049, 3.204678, 3.360775, 3.286211
48, 3.337314, 0.107258, 3.461436, 3.246919, 3.303586
